sensor-id,temp [¡C],revC_raw_tmp,revC_raw_rv,tsi_value [m/s]
11,24,1.495,1.134,0
11,24,1.501,1.136,0
11,24,1.495,1.133,0
11,24,1.501,1.131,0
11,24,1.498,1.135,0
11,24,1.496,1.134,0
11,24,1.495,1.131,0
11,24,1.498,1.131,0
11,23.9,1.501,1.133,0
11,23.9,1.497,1.134,0
11,24,1.491,1.135,0
11,24,1.491,1.134,0
11,24,1.495,1.134,0
11,24,1.495,1.128,0
11,24,1.491,1.136,0
11,24,1.491,1.133,0
11,24,1.491,1.137,0
11,24,1.497,1.142,0
11,24,1.497,1.137,0
11,24,1.495,1.136,0
11,24,1.495,1.131,0
11,24,1.495,1.126,0
11,24,1.494,1.129,0
11,24,1.494,1.126,0
11,24,1.489,1.129,0
11,24,1.491,1.131,0
11,24,1.493,1.134,0
11,24,1.49,1.134,0
11,24,1.488,1.131,0
11,24,1.488,1.127,0
11,24,1.488,1.131,0
11,24,1.486,1.134,0
11,24,1.488,1.139,0
11,24,1.487,1.143,0
11,24,1.487,1.136,0
11,24,1.488,1.138,0
11,24,1.488,1.136,0
11,24,1.486,1.134,0
11,24,1.488,1.134,0
11,24,1.486,1.131,0
11,24,1.486,1.135,0
11,24,1.486,1.136,0
11,24,1.488,1.133,0
11,24,1.488,1.134,0
11,24,1.488,1.132,0
11,24,1.487,1.136,0
11,24,1.489,1.136,0
11,24,1.488,1.133,0
11,24,1.488,1.134,0
11,24,1.49,1.131,0
11,24,1.488,1.129,0
11,24,1.489,1.123,0
11,24,1.488,1.123,0
11,24,1.488,1.126,0
11,24,1.488,1.127,0
11,24,1.488,1.13,0
11,24,1.488,1.152,0
11,24,1.488,1.157,0
11,24,1.498,1.164,0
11,24,1.498,1.175,0.0782
11,24,1.507,1.228,0.1442
11,24,1.507,1.221,0.1442
11,24.1,1.517,1.272,0.2151
11,24.1,1.521,1.276,0.2151
11,24,1.522,1.326,0.2908
11,24,1.525,1.342,0.3055
11,24,1.527,1.33,0.3397
11,24,1.53,1.33,0.3397
11,24,1.531,1.317,0.3299
11,24,1.534,1.309,0.3275
11,24,1.533,1.307,0.3177
11,24,1.534,1.311,0.3177
11,24.1,1.534,1.309,0.3226
11,24.1,1.535,1.311,0.3226
11,24,1.535,1.316,0.2908
11,24,1.535,1.319,0.2908
11,24,1.535,1.306,0.2713
11,24,1.535,1.311,0.2713
11,24,1.535,1.312,0.2566
11,24,1.535,1.298,0.2566
11,24.1,1.535,1.313,0.2615
11,24.1,1.545,1.309,0.259
11,24.1,1.535,1.315,0.2688
11,24.1,1.543,1.307,0.2688
11,24,1.546,1.307,0.2835
11,24,1.542,1.296,0.281
11,24.1,1.535,1.296,0.2688
11,24.1,1.542,1.296,0.2688
11,24,1.542,1.301,0.2688
11,24,1.535,1.292,0.2688
11,24.1,1.542,1.291,0.2639
11,24.1,1.535,1.298,0.2566
11,24.1,1.533,1.295,0.2566
11,24.1,1.535,1.296,0.2566
11,24.1,1.535,1.296,0.2468
11,24.1,1.542,1.289,0.2468
11,24.1,1.534,1.294,0.2517
11,24.1,1.543,1.29,0.2517
11,24,1.535,1.287,0.2444
11,24,1.535,1.294,0.2444
11,24.1,1.535,1.282,0.237
11,24.1,1.534,1.287,0.2346
11,24.1,1.535,1.288,0.2224
11,24.1,1.534,1.281,0.2224
11,24.1,1.535,1.277,0.2199
11,24.1,1.533,1.28,0.2199
11,24.1,1.535,1.281,0.2077
11,24.1,1.531,1.281,0.2077
11,24.1,1.535,1.287,0.2053
11,24.1,1.53,1.292,0.2053
11,24.1,1.533,1.29,0.2126
11,24.1,1.533,1.292,0.2126
11,24.1,1.533,1.291,0.2151
11,24.1,1.535,1.294,0.2151
11,24.1,1.53,1.295,0.2346
11,24.1,1.534,1.29,0.2346
11,24.1,1.531,1.296,0.2517
